Timestamp,Day of the sale,Quantity,Month of the year ,Day of the week,Price (per item unless its a set),Card amount payed,Cash amount Payed,Product type,Beads Collections,Sterling silver collections,Gold Plated Collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/5/2024 22:28:47,12/5/2024,1,December,Thursday,40,40,,Sterling Silver,,Sterling Silver Necklaces,,Tree of life,,,,,
12/9/2024 23:17:24,12/5/2024,1,December,Thursday,25,,25,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,,
12/9/2024 23:17:24,12/5/2024,1,December,Thursday,25,,25,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,,
12/9/2024 23:17:24,12/5/2024,1,December,Thursday,25,,25,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,,
12/9/2024 23:17:24,12/5/2024,1,December,Thursday,25,,25,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,,
12/9/2024 23:17:24,12/5/2024,1,December,Thursday,25,,25,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,,
12/6/2024 15:56:21,12/6/2024,1,December,Friday,12,12,,Handmade / Beaded,beaded bracelets,,,Evil eye,,,,,
12/6/2024 17:12:42,12/6/2024,1,December,Friday,36,36,,Sterling Silver,,Sterling Silver anklets,,Zirconia,pink,,,,
12/9/2024 23:18:40,12/6/2024,1,December,Friday,25,25,,Handmade / Beaded,beaded bracelets,,,Evil eye,,,,,
12/7/2024 12:14:56,12/7/2024,1,December,Saturday,30,,30,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/7/2024 14:18:31,12/7/2024,1,December,Saturday,38,38,,Gold Plated,,,necklaces,Raw Stone,,,Turquoise (december),,
12/7/2024 14:19:28,12/7/2024,1,December,Saturday,45,45,,Gold Plated,,,bracelets,Raw Stone,,,Turquoise (december),,
12/8/2024 14:08:32,12/8/2024,1,December,Sunday,24,24,,Handmade / Beaded,beaded bracelets,,,Citrine and lava ( men),,,,,
12/8/2024 15:02:33,12/8/2024,1,December,Sunday,35,35,,Gold Plated,,,rings,Moon stone,,,,,
12/8/2024 15:47:39,12/8/2024,1,December,Sunday,75,,75,Sterling Silver,,Sterling Silver Bangles,,Zirconia,white (diamond),,,,
12/8/2024 15:48:28,12/8/2024,1,December,Sunday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/8/2024 17:06:34,12/8/2024,1,December,Sunday,40,,40,Sterling Silver,,Sterling Silver Necklaces,,Evil eye,,,,,
12/11/2024 9:55:26,12/9/2024,1,December,Monday,40,0,40,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/11/2024 9:56:34,12/9/2024,1,December,Monday,30,0,30,Sterling Silver,,Sterling Silver Stud Earings,,Evil eye,,,,,
12/11/2024 9:59:24,12/9/2024,1,December,Monday,45,0,45,Sterling Silver,,Sterling Silver Rings,,Evil eye,,,,,
12/11/2024 10:00:54,12/9/2024,1,December,Monday,40,0,40,Sterling Silver,,Sterling Silver Necklaces,,Crescent & small star,,,,,
12/11/2024 14:12:55,12/9/2024,1,December,Monday,10,,10,Handmade / Beaded,beaded bracelets,,,small pink,,,,,
12/10/2024 22:42:56,12/10/2024,1,December,Tuesday,30,30,,Sterling Silver,,Sterling Silver Rings,,Plain,,,,,
